,ESCS,MATH,predict
479132,1.33,387.45132,520.381562933
480416,1.16,464.87768,514.722663685
480179,2.02,531.32108,543.350036353
476215,-0.58,416.272,456.802165495
477237,0.37,572.52686,488.425426001
478732,-1.54,475.54916,424.846028562
477290,0.37,370.39258,488.425426001
477849,0.29,391.73548,485.76241459
478572,-0.36,443.6906,464.125446875
476933,0.17,439.09486,481.767897473
479536,0.97,643.3323,508.398011584
476124,0.28,447.97476,485.429538163
476859,-1.6,310.1028,422.848770004
479935,0.19,412.45522,482.433650326
478145,-0.21,404.74374,469.118593271
478935,-1.09,440.34116,439.82546775
479493,0.45,411.05314,491.088437412
478649,0.64,541.75884,497.413089513
477044,0.8,526.25798,502.739112335
479231,0.7,754.253,499.410348071
477573,1.28,740.77738,518.717180801
477529,-0.14,350.68546,471.448728256
475567,-0.59,446.1832,456.469289068
477069,-0.42,434.26544,462.128188317
479787,0.99,554.53342,509.063764436
480329,0.37,465.73452,488.425426001
477464,1.7,428.57922,532.697990709
477985,0.54,543.6283,494.084325249
475817,-0.51,407.78156,459.13230048
477560,1.19,454.05046,515.721292964
478308,2.2,611.47376,549.341812028
475822,2.04,521.89592,544.015789206
476046,-1.7,396.64276,419.52000574
476798,1.21,401.70588,516.387045817
477858,0.89,513.4055,505.735000173
478099,0.59,448.9874,495.748707381
476601,0.65,561.0765,497.745965939
476139,0.79,529.14006,502.406235909
477990,1.19,535.60524,515.721292964
475737,0.51,393.60492,493.08569597
478491,-0.69,435.66754,453.140524805
479668,0.06,441.66538,478.106256783
477652,0.8,336.74248,502.739112335
476162,-1.1,396.40908,439.492591323
475584,-1.2,596.20656,436.163827059
475733,-0.6,359.17588,456.136412642
476224,1.5,689.83486,526.040462182
477696,1.4,533.96948,522.711697918
475909,-0.21,369.61364,469.118593271
477722,2.09,496.5026,545.680171338
478825,-0.1,510.134,472.780233961
478051,-0.62,386.3608,455.470659789
475963,0.16,589.3519,481.435021047
477521,0.05,337.44352,477.773380357
477986,-0.22,581.79622,468.785716844
478265,0.77,506.16142,501.740483056
478422,-0.78,386.98396,450.144636967
479042,-0.82,376.5462,448.813131262
478945,-2.7,486.06478,386.232363103
480465,0.95,481.85854,507.732258731
477672,-0.28,389.71024,466.788458286
477794,1.58,522.67488,528.703473593
479885,1.36,577.12258,521.380192212
476072,0.73,323.96792,500.40897735
478009,0.81,616.77054,503.071988762
476785,0.71,544.8746,499.743224498
476312,0.26,643.79964,484.763785311
477804,0.57,487.7006,495.082954528
479118,1.11,504.36982,513.058281553
476788,0.3,501.48776,486.095291016
480332,0.33,341.41612,487.093920295
476115,-0.02,421.95826,475.443245372
476522,0.2,505.84982,482.766526752
475755,1.06,478.58702,511.393899421
480518,0.68,445.0148,498.744595219
476443,0.96,374.13148,508.065135157
476325,0.81,603.3728,503.071988762
480390,-0.1,477.96384,472.780233961
477765,1.16,504.21406,514.722663685
476923,-0.21,314.0754,469.118593271
477710,1.45,456.07572,524.37608005
478655,0.92,507.56348,506.733629452
478342,1.07,475.00392,511.726775847
478193,0.97,519.24756,508.398011584
477969,-1.16,504.75932,437.495332765
480052,0.52,364.0832,493.418572397
479319,-0.01,449.53262,475.776121798
475943,-0.02,438.23804,475.443245372
480091,-0.42,547.4451,462.128188317
479611,1.61,457.16624,529.702102872
479634,0.7,459.19146,499.410348071
479770,-2.0,365.40738,409.533712949
478892,-1.58,458.80198,423.514522857
477383,-0.36,429.35816,464.125446875
477285,-1.1,455.37468,439.492591323
477988,0.98,429.82552,508.73088801
478250,1.78,588.88456,535.36100212
477778,0.91,494.39944,506.400753025
478789,0.65,444.31374,497.745965939
476015,-0.38,510.0561,463.459694022
476137,-0.3,410.1184,466.122705433
475873,-0.05,416.03834,474.444616093
479715,-0.52,465.9682,458.799424053
476565,-0.35,575.48682,464.458323302
475612,-0.13,519.7149,471.781604682
480448,1.34,687.8875,520.71443936
476569,0.3,396.40908,486.095291016
477667,-1.35,532.10002,431.170680664
476960,0.87,652.13432,505.06924732
477795,0.58,470.40816,495.415830955
476493,-0.64,494.39942,454.804906937
479809,0.89,487.5448,505.735000173
478652,0.81,485.36374,503.071988762
479976,3.12,551.88502,579.966443255
477957,0.1,379.35038,479.437762489
